Name,Listing_id,Profile_url,Street_address,City,Province,Postal_code,Full_address,Phones,Website,Categories,Sponsored,What,Where
Stampede Appliances Ltd,1499298,https://www.yellowpages.ca/bus/Alberta/Calgary/Stampede-Appliances-Ltd/1499298.html?what=fridge&where=Calgary+AB&useContext=true,216 Stewart Green SW,Calgary,AB,T3H 3M1,"216 Stewart Green SW, Calgary, AB, T3H 3M1",587-887-7164,http://stampedeappliances.com/,Major Appliance Stores,TRUE,fridge,calgary ab
Valley View Appliances Ltd,7590192,https://www.yellowpages.ca/bus/Alberta/Calgary/Valley-View-Appliances-Ltd/7590192.html?what=fridge&where=Calgary+AB&useContext=true,238-5149 Country Hills Blvd NW,Calgary,AB,T3G 3T2,"238-5149 Country Hills Blvd NW, Calgary, AB, T3G 3T2","403-247-9602,1-800-941-4596",https://www.valleyviewappliances.com/,"Major Appliance Stores,Appliance Repair & Service,More…",FALSE,fridge,calgary ab
Canadian Tire,297505,https://www.yellowpages.ca/bus/Alberta/Calgary/Canadian-Tire/297505.html?what=fridge&where=Calgary+AB&useContext=true,3516 - 8th Avenue NE,Calgary,AB,T2A 6K5,"3516 - 8th Avenue NE, Calgary, AB, T2A 6K5",403-248-6400,https://www.canadiantire.ca/en/store-details/ab/calgary-pacific-place-ab-326.html?utm_source=yext&utm_medium=lss,"Department Stores,New Auto Parts & Supplies",FALSE,fridge,calgary ab
Canadian Tire,3513691,https://www.yellowpages.ca/bus/Alberta/Calgary/Canadian-Tire/3513691.html?what=fridge&where=Calgary+AB&useContext=true,4155 - 126th Avenue SE,Calgary,AB,T2Z 0A1,"4155 - 126th Avenue SE, Calgary, AB, T2Z 0A1",403-257-4729,https://www.canadiantire.ca/en/store-details/ab/calgary-mckenzie-towne-se-ab-637.html?utm_source=yext&utm_medium=lss,"Department Stores,Tire Retailers,More…",FALSE,fridge,calgary ab
Canadian Tire,100378024,https://www.yellowpages.ca/bus/Alberta/Calgary/Canadian-Tire/100378024.html?what=fridge&where=Calgary+AB&useContext=true,11940 Sarcee Trail NW,Calgary,AB,T3R 0A1,"11940 Sarcee Trail NW, Calgary, AB, T3R 0A1",403-456-6428,https://canadiantire.ca/,"Department Stores,Housewares,More…",FALSE,fridge,calgary ab
Canadian Tire,3059413,https://www.yellowpages.ca/bus/Alberta/Calgary/Canadian-Tire/3059413.html?what=fridge&where=Calgary+AB&useContext=true,5200 Richmond Road SW,Calgary,AB,T3E 6M9,"5200 Richmond Road SW, Calgary, AB, T3E 6M9",403-246-1961,https://www.canadiantire.ca/en/store-details/ab/calgary-westhills-ab-302.html?utm_source=yext&utm_medium=lss,"Department Stores,Gas Stations",FALSE,fridge,calgary ab
Canadian Tire,2157546,https://www.yellowpages.ca/bus/Alberta/Calgary/Canadian-Tire/2157546.html?what=fridge&where=Calgary+AB&useContext=true,5404 Dalton Drive NW,Calgary,AB,T3A 2C3,"5404 Dalton Drive NW, Calgary, AB, T3A 2C3",403-288-1100,https://www.canadiantire.ca/en/store-details/ab/calgary-dalhousie-nw-ab-299.html?utm_source=yext&utm_medium=lss,"Department Stores,Gas Stations",FALSE,fridge,calgary ab
Trail Appliances,275904,https://www.yellowpages.ca/bus/Alberta/Calgary/Trail-Appliances/275904.html?what=fridge&where=Calgary+AB&useContext=true,650 Crowfoot Crescent NW,Calgary,AB,T3G 4S3,"650 Crowfoot Crescent NW, Calgary, AB, T3G 4S3",403-930-6270,http://www.trail-appliances.com/ab,Major Appliance Stores,FALSE,fridge,calgary ab
Trail Appliances,1607752,https://www.yellowpages.ca/bus/Alberta/Calgary/Trail-Appliances/1607752.html?what=fridge&where=Calgary+AB&useContext=true,6880 11 St SE,Calgary,AB,T2H 2T9,"6880 11 St SE, Calgary, AB, T2H 2T9","403-253-1835,1-800-843-7738",http://www.trailappliances.com/,Major Appliance Stores,FALSE,fridge,calgary ab
Trail Appliances,102354093,https://www.yellowpages.ca/bus/Alberta/Calgary/Trail-Appliances/102354093.html?what=fridge&where=Calgary+AB&useContext=true,650 Crowfoot Cres Nw,Calgary,AB,T3G 4S3,"650 Crowfoot Cres Nw, Calgary, AB, T3G 4S3",403-930-6270,N/A,"Major Appliance Stores,Small Home Appliance Stores",FALSE,fridge,calgary ab
