Name,Listing_id,Profile_url,Street_address,City,Province,Postal_code,Full_address,Phones,Website,Categories,Sponsored,What,Where
Ateliers G Paquette Inc,100227496,https://www.yellowpages.ca/bus/Quebec/St-Leonard/Ateliers-G-Paquette-Inc/100227496.html?what=fridge&where=Laval+QC&useContext=true,6744 Jarry Est,St-Léonard,QC,H1P 1W3,"6744 Jarry Est, St-Léonard, QC, H1P 1W3",514-416-7634,https://www.yellowpages.ca,Major Appliance Stores,True,fridge,laval QC
Germain Larivière,7904946,https://www.yellowpages.ca/bus/Quebec/Laval/Germain-Lariviere/7904946.html?what=fridge&where=Laval+QC&useContext=true,"2900, av Jacques-Bureau",Laval,QC,H7P 6E1,"2900, av Jacques-Bureau, Laval, QC, H7P 6E1","514-866-8691,1-800-363-1336",http://www.germainlariviere.com/,Major Appliance Stores,False,fridge,laval QC
Corbeil Appliances,8158054,https://www.yellowpages.ca/bus/Quebec/Laval/Corbeil-Appliances/8158054.html?what=fridge&where=Laval+QC&useContext=true,3607 Autoroute 440 O,Laval,QC,H7P 5P6,"3607 Autoroute 440 O, Laval, QC, H7P 5P6",450-682-4090,http://www.corbeilelectro.com/,"Major Appliance Stores, Appliance Repair & Service",False,fridge,laval QC
Canadian Tire,7446793,https://www.yellowpages.ca/bus/Quebec/Laval/Canadian-Tire/7446793.html?what=fridge&where=Laval+QC&useContext=true,1450 Boul. Le Corbusier,Laval,QC,H7N 6J5,"1450 Boul. Le Corbusier, Laval, QC, H7N 6J5",450-682-9922,https://www.canadiantire.ca/en/store-details/qc/laval-le-corbusier-qc-300.html?utm_source=yext&utm_medium=lss,"Department Stores, New Auto Parts & Supplies",False,fridge,laval QC
Canadian Tire,3183435,https://www.yellowpages.ca/bus/Quebec/Laval/Canadian-Tire/3183435.html?what=fridge&where=Laval+QC&useContext=true,500 Chomedey (A-13) Ouest,Laval,QC,H7X 3S9,"500 Chomedey (A-13) Ouest, Laval, QC, H7X 3S9",450-969-4141,https://www.canadiantire.ca/en/store-details/qc/laval-ste-dorothee-qc-155.html?utm_source=yext&utm_medium=lss,"Department Stores, New Auto Parts & Supplies",False,fridge,laval QC
Canadian Tire,7796510,https://www.yellowpages.ca/bus/Quebec/Laval/Canadian-Tire/7796510.html?what=fridge&where=Laval+QC&useContext=true,"544, boul Curé-Labelle",Laval,QC,H7P 2P4,"544, boul Curé-Labelle, Laval, QC, H7P 2P4",450-963-8686,https://canadiantire.ca/,"Department Stores, New Auto Parts & Supplies",False,fridge,laval QC
Service 2000 Électroménagers,2512022,https://www.yellowpages.ca/bus/Quebec/Laval/Service-2000-Electromenagers/2512022.html?what=fridge&where=Laval+QC&useContext=true,2285 Rue Michelin,Laval,QC,H7L 5B8,"2285 Rue Michelin, Laval, QC, H7L 5B8",514-384-2560,http://www.cteq.ca/,"Major Appliance Stores, Appliance Repair & Service",False,fridge,laval QC
S E S Service,2674373,https://www.yellowpages.ca/bus/Quebec/Laval/S-E-S-Service/2674373.html?what=fridge&where=Laval+QC&useContext=true,22 boul Lévesque E,Laval,QC,H7G 1B4,"22 boul Lévesque E, Laval, QC, H7G 1B4","450-669-2987,450-910-0618",https://www.yellowpages.ca,"Major Appliance Stores, Appliance Parts & Supplies",False,fridge,laval QC
Service 2000 Electroménagers,2092682,https://www.yellowpages.ca/bus/Quebec/Laval/Service-2000-Electromenagers/2092682.html?what=fridge&where=Laval+QC&useContext=true,2285 Rue Michelin,Laval,QC,H7L 5B8,"2285 Rue Michelin, Laval, QC, H7L 5B8",450-485-0337,https://www.service2000.ca/,"Major Appliance Stores, Appliance Repair & Service",False,fridge,laval QC
Ameublement J C Perreault,7960572,https://www.yellowpages.ca/bus/Quebec/Laval/Ameublement-J-C-Perreault/7960572.html?what=fridge&where=Laval+QC&useContext=true,1900 Rue Maurice-Gauvin,Laval,QC,H7S 1Z5,"1900 Rue Maurice-Gauvin, Laval, QC, H7S 1Z5","1-855-681-7211,450-681-7211",http://www.jcperreault.com/,"Major Appliance Stores, Mattresses & Box Springs, More…",True,fridge,laval QC
Pierre Bouchard Electrique Inc,2639074,https://www.yellowpages.ca/bus/Quebec/Laval/Pierre-Bouchard-Electrique-Inc/2639074.html?what=fridge&where=Laval+QC&useContext=true,3570 rue Rivard,Laval,QC,H7E 1A5,"3570 rue Rivard, Laval, QC, H7E 1A5",450-233-5643,https://www.yellowpages.ca,"Major Appliance Stores, Electric Heating Equipment & Systems, More…",True,fridge,laval QC
